check,passed,detail
response_key_question:Q7_9_2,TRUE,present
response_key_question:Q7_9_3,TRUE,present
response_key_question:Q7_10_1,TRUE,present
response_key_question:Q7_10_2,TRUE,present
response_key_question:Q7_10_3,TRUE,present
response_key_question:Q7_11_1,TRUE,present
response_key_question:Q7_11_2,TRUE,present
response_key_question:Q7_11_3,TRUE,present
response_key_question:Q7_12_1,TRUE,present
response_key_question:Q7_12_2,TRUE,present
response_key_question:Q7_12_3,TRUE,present
response_key_question:Q7_13_1,TRUE,present
response_key_question:Q7_13_2,TRUE,present
response_key_question:Q7_13_3,TRUE,present
response_key_question:Q7_14_1,TRUE,present
response_key_question:Q7_14_2,TRUE,present
response_key_question:Q7_14_3,TRUE,present
response_key_question:Q8_1,TRUE,present
response_key_question:Q8_2,TRUE,present
response_key_question:Q8_3,TRUE,present
response_key_question:Q8_4,TRUE,present
response_key_question:Q8_5,TRUE,present
response_key_question:Q8_6,TRUE,present
response_key_question:Q8_7,TRUE,present
response_key_question:Q8_8,TRUE,present
response_key_question:Q8_9,TRUE,present
response_key_question:Q8_10,TRUE,present
response_key_question:Q8_11,TRUE,present
response_key_question:Q8_11_TEXT,TRUE,present
response_key_question:Q9_1,TRUE,present
response_key_question:Q9_3,TRUE,present
response_key_question:Q9_4,TRUE,present
response_key_question:Q9_5,TRUE,present
response_key_question:Q9_6,TRUE,present
response_key_question:Q9_7,TRUE,present
response_key_question:Q9_8,TRUE,present
response_key_question:Q9_10,TRUE,present
response_key_question:Q9_11,TRUE,present
response_key_question:Q9_12,TRUE,present
response_key_question:Q9_13,TRUE,present
response_key_question:Q9_13_TEXT,TRUE,present
response_key_question:Q10_1,TRUE,present
response_key_question:Q10_2,TRUE,present
response_key_question:Q10_3,TRUE,present
response_key_question:Q10_4,TRUE,present
response_key_question:Q10_5,TRUE,present
response_key_question:Q10_6,TRUE,present
response_key_question:Q10_7,TRUE,present
response_key_question:Q10_8,TRUE,present
response_key_question:Q10_9,TRUE,present
response_key_question:Q10_10,TRUE,present
response_key_question:Q10_11,TRUE,present
response_key_question:Q10_12,TRUE,present
response_key_question:Q10_13,TRUE,present
response_key_question:Q10_14,TRUE,present
response_key_question:Q10_15,TRUE,present
response_key_question:Q10_16,TRUE,present
response_key_question:Q10_27,TRUE,present
response_key_question:Q10_28,TRUE,present
response_key_question:Q10_29,TRUE,present
response_key_question:Q10_29_TEXT,TRUE,present
response_key_question:Q10_31,TRUE,present
response_key_question:Q10_32,TRUE,present
response_key_question:Q10_33,TRUE,present
response_key_question:Q10_34,TRUE,present
response_key_question:Q10_35,TRUE,present
response_key_question:Q11,TRUE,present
response_key_question:Q12,TRUE,present
response_key_question:Q13_1,TRUE,present
response_key_question:Q13_2,TRUE,present
response_key_question:Q13_3,TRUE,present
response_key_question:Q14,TRUE,present
response_key_question:Q15_1,TRUE,present
response_key_question:Q15_2,TRUE,present
response_key_question:Q15_3,TRUE,present
response_key_question:Q15_4,TRUE,present
response_key_question:Q15_4_TEXT,TRUE,present
response_key_question:Q16,TRUE,present
response_key_question:Q17,TRUE,present
response_key_question:Q18_2_TEXT,TRUE,present
response_key_question:Q18,TRUE,present
response_key_question:Q19_1_1,TRUE,present
response_key_question:Q19_1_2,TRUE,present
response_key_question:Q19_2_1,TRUE,present
response_key_question:Q19_2_2,TRUE,present
response_key_question:Q19_3_1,TRUE,present
response_key_question:Q19_3_2,TRUE,present
response_key_question:Q19_4_1,TRUE,present
response_key_question:Q19_4_2,TRUE,present
response_key_question:Q19_5_1,TRUE,present
response_key_question:Q19_5_2,TRUE,present
response_key_question:Q19_6_1,TRUE,present
response_key_question:Q19_6_2,TRUE,present
response_key_question:Q20_1_1,TRUE,present
response_key_question:Q20_1_2,TRUE,present
response_key_question:Q20_2_1,TRUE,present
response_key_question:Q20_2_2,TRUE,present
response_key_question:Q20_3_1,TRUE,present
response_key_question:Q20_3_2,TRUE,present
response_key_question:Q20_4_1,TRUE,present
response_key_question:Q20_4_2,TRUE,present
response_key_question:Q21_1,TRUE,present
response_key_question:Q21_2,TRUE,present
response_key_question:Q21_3,TRUE,present
response_key_question:Q21_4,TRUE,present
response_key_question:Q22_1_1,TRUE,present
response_key_question:Q22_1_2,TRUE,present
response_key_question:Q22_2_1,TRUE,present
response_key_question:Q22_2_2,TRUE,present
response_key_question:Q22_3_1,TRUE,present
response_key_question:Q22_3_2,TRUE,present
response_key_question:Q22_4_1,TRUE,present
response_key_question:Q22_4_2,TRUE,present
response_key_question:Q22_5_1,TRUE,present
response_key_question:Q22_5_2,TRUE,present
response_key_question:Q22_6_1,TRUE,present
response_key_question:Q22_6_2,TRUE,present
response_key_question:Q23_1_2,TRUE,present
response_key_question:Q23_1_3,TRUE,present
response_key_question:Q23_1_4,TRUE,present
response_key_question:Q23_1_5,TRUE,present
response_key_question:Q23_2_2,TRUE,present
response_key_question:Q23_2_3,TRUE,present
response_key_question:Q23_2_4,TRUE,present
response_key_question:Q23_2_5,TRUE,present
response_key_question:Q23_3_2,TRUE,present
response_key_question:Q23_3_3,TRUE,present
response_key_question:Q23_3_4,TRUE,present
response_key_question:Q23_3_5,TRUE,present
response_key_question:Q23_4_2,TRUE,present
response_key_question:Q23_4_3,TRUE,present
response_key_question:Q23_4_4,TRUE,present
response_key_question:Q23_4_5,TRUE,present
response_key_question:Q23_5_2,TRUE,present
response_key_question:Q23_5_3,TRUE,present
response_key_question:Q23_5_4,TRUE,present
response_key_question:Q23_5_5,TRUE,present
response_key_question:Q24_1_1,TRUE,present
response_key_question:Q24_2_1,TRUE,present
response_key_question:Q24_3_1,TRUE,present
response_key_question:Q24_4_1,TRUE,present
response_key_question:Q24_5_1,TRUE,present
response_key_question:Q24_6_1,TRUE,present
response_key_question:Q25_1,TRUE,present
response_key_question:Q25_2,TRUE,present
response_key_question:Q25_4,TRUE,present
response_key_question:Q26_1_1,TRUE,present
response_key_question:Q26_1_2,TRUE,present
response_key_question:Q26_1_5,TRUE,present
response_key_question:Q26_2_1,TRUE,present
response_key_question:Q26_2_2,TRUE,present
response_key_question:Q26_2_5,TRUE,present
response_key_question:Q26_3_1,TRUE,present
response_key_question:Q26_3_2,TRUE,present
response_key_question:Q26_3_5,TRUE,present
response_key_question:Q27,TRUE,present
response_key_question:Q28,TRUE,present
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...239
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...240
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...241
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...242
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...243
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...244
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...245
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...246
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...247
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...248
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...249
duplicate_column:Percent of undergraduate enrollment that are women (DRVEF2023).,TRUE,kept=Percent of undergraduate enrollment that are women (DRVEF2023)...238; dropped=Percent of undergraduate enrollment that are women (DRVEF2023)...250
